Search Query	 || 		Document with keyword	 || 	"total documents/appeared documents"	 || 	"log_10(N)"

Canada			 || 			67.0				 || 			9.388059701492537				 || 	0.9725758427444425
Moncton			 || 			12.0				 || 			52.416666666666664				 || 	1.719469399397644
Toronto			 || 			34.0				 || 			18.5							 || 	1.2671717284030137


Canada Appeared in 67 Documents	 || 	Total Words		 || 		Frequency

ARTICLE#493						 || 			87		 || 			0
ARTICLE#494						 || 			87		 || 			0
ARTICLE#495						 || 			93		 || 			0
ARTICLE#496						 || 			99		 || 			0
ARTICLE#497						 || 			108		 || 			0
ARTICLE#498						 || 			96		 || 			0
ARTICLE#499						 || 			72		 || 			0
ARTICLE#500						 || 			102		 || 			0
ARTICLE#501						 || 			114		 || 			0
ARTICLE#502						 || 			99		 || 			0
ARTICLE#503						 || 			90		 || 			0
ARTICLE#504						 || 			78		 || 			0
ARTICLE#505						 || 			84		 || 			0
ARTICLE#506						 || 			38		 || 			1
ARTICLE#507						 || 			96		 || 			0
ARTICLE#508						 || 			96		 || 			0
ARTICLE#509						 || 			99		 || 			0
ARTICLE#510						 || 			99		 || 			0
ARTICLE#511						 || 			84		 || 			0
ARTICLE#512						 || 			108		 || 			0
ARTICLE#513						 || 			105		 || 			0
ARTICLE#514						 || 			81		 || 			0
ARTICLE#515						 || 			111		 || 			0
ARTICLE#516						 || 			96		 || 			0
ARTICLE#517						 || 			96		 || 			0
ARTICLE#518						 || 			56		 || 			0
ARTICLE#519						 || 			96		 || 			0
ARTICLE#520						 || 			93		 || 			0
ARTICLE#521						 || 			93		 || 			0
ARTICLE#522						 || 			105		 || 			0
ARTICLE#523						 || 			32		 || 			1
ARTICLE#524						 || 			87		 || 			0
ARTICLE#525						 || 			99		 || 			0
ARTICLE#526						 || 			90		 || 			0
ARTICLE#527						 || 			90		 || 			0
ARTICLE#528						 || 			102		 || 			0
ARTICLE#529						 || 			96		 || 			0
ARTICLE#530						 || 			93		 || 			0
ARTICLE#531						 || 			102		 || 			0
ARTICLE#532						 || 			99		 || 			0
ARTICLE#533						 || 			93		 || 			0
ARTICLE#534						 || 			102		 || 			0
ARTICLE#535						 || 			34		 || 			1
ARTICLE#536						 || 			99		 || 			0
ARTICLE#537						 || 			81		 || 			0
ARTICLE#538						 || 			69		 || 			0
